"Step","deberta-mlm-large_prompt-based-pure-fs-balanced - eval/macro_recall","deberta-mlm-large_prompt-based-pure-fs-balanced - eval/macro_recall__MIN","deberta-mlm-large_prompt-based-pure-fs-balanced - eval/macro_recall__MAX","deberta-mlm-large_prompt-based-pure-balanced - eval/macro_recall","deberta-mlm-large_prompt-based-pure-balanced - eval/macro_recall__MIN","deberta-mlm-large_prompt-based-pure-balanced - eval/macro_recall__MAX","deberta-mlm-large_prompt-based-balanced - eval/macro_recall","deberta-mlm-large_prompt-based-balanced - eval/macro_recall__MIN","deberta-mlm-large_prompt-based-balanced - eval/macro_recall__MAX","deberta-large_prompt-based-balanced - eval/macro_recall","deberta-large_prompt-based-balanced - eval/macro_recall__MIN","deberta-large_prompt-based-balanced - eval/macro_recall__MAX","mlm-large_prompt-based-balanced - eval/macro_recall","mlm-large_prompt-based-balanced - eval/macro_recall__MIN","mlm-large_prompt-based-balanced - eval/macro_recall__MAX","mlm-large_prompt-based - eval/macro_recall","mlm-large_prompt-based - eval/macro_recall__MIN","mlm-large_prompt-based - eval/macro_recall__MAX","mlm-large_fine-tune - eval/macro_recall","mlm-large_fine-tune - eval/macro_recall__MIN","mlm-large_fine-tune - eval/macro_recall__MAX","mlm_fine-tune - eval/macro_recall","mlm_fine-tune - eval/macro_recall__MIN","mlm_fine-tune - eval/macro_recall__MAX"
"58","","","","","","","","","","","","","","","","","","","0.39116511915070595","0.39116511915070595","0.39116511915070595","0.35660399792865355","0.35660399792865355","0.35660399792865355"
"65","0.5022111672354442","0.5015980758585079","0.5028242586123806","0.3067360591319544","0.3067360591319544","0.3067360591319544","0.23355029780438552","0.23355029780438552","0.23355029780438552","0.31769889306507226","0.31769889306507226","0.31769889306507226","0.32298613478149035","0.31837037180582606","0.32760189775715465","0.34413693647383065","0.34413693647383065","0.34413693647383065","","","","","",""
"87","0.3528900721160043","0.3527761139576621","0.3530040302743465","0.34449817659109966","0.34449817659109966","0.34449817659109966","0.3252183440934694","0.3252183440934694","0.3252183440934694","0.3338188347616079","0.3338188347616079","0.3338188347616079","0.3579199332707145","0.3558356101332766","0.36000425640815237","0.3660287458848447","0.3660287458848447","0.3660287458848447","","","","","",""
"109","0.2410322176486164","0.24081445738499113","0.24124997791224168","0.38125964271508883","0.38125964271508883","0.38125964271508883","0.35209935749581334","0.35209935749581334","0.35209935749581334","0.35782302971676005","0.35782302971676005","0.35782302971676005","0.3945374238198289","0.3935229019213978","0.3955519457182601","0.3974271266762565","0.3974271266762565","0.3974271266762565","","","","","",""
"131","0.38095617395432274","0.38095617395432274","0.38095617395432274","0.35588110911641613","0.35588110911641613","0.35588110911641613","0.34961685259834924","0.34961685259834924","0.34961685259834924","0.38685263217472204","0.38685263217472204","0.38685263217472204","0.39454134015312436","0.3927891090736363","0.3962935712326124","0.40587505042429894","0.40587505042429894","0.40587505042429894","","","","","",""
"153","0.3488800822925359","0.3488800822925359","0.3488800822925359","0.3941485086171448","0.3941485086171448","0.3941485086171448","0.3597270204104975","0.3597270204104975","0.3597270204104975","0.3691801723804596","0.3691801723804596","0.3691801723804596","0.38115760718088587","0.3784916559130989","0.3838235584486729","0.37623436261529886","0.37623436261529886","0.37623436261529886","","","","","",""
"175","0.3360956908682819","0.3360956908682819","0.3360956908682819","0.4062013908182596","0.4062013908182596","0.4062013908182596","0.389133706852924","0.389133706852924","0.389133706852924","0.39986936784845917","0.39986936784845917","0.39986936784845917","0.40347257687023363","0.40058053734506904","0.4063646163953982","0.4139381190968844","0.4139381190968844","0.4139381190968844","","","","","",""
"197","0.36945774083762495","0.36945774083762495","0.36945774083762495","0.392306095300538","0.392306095300538","0.392306095300538","0.36820806092661634","0.36820806092661634","0.36820806092661634","0.3830503417818676","0.3830503417818676","0.3830503417818676","0.4137339157766984","0.4102059836685196","0.4172618478848772","0.4196639441857761","0.4196639441857761","0.4196639441857761","","","","","",""
"219","","","","0.37909089056893264","0.37909089056893264","0.37909089056893264","0.37492080104499165","0.37492080104499165","0.37492080104499165","0.3996310457154947","0.3996310457154947","0.3996310457154947","0.39999507189526556","0.399636431645858","0.40035371214467314","0.3957353197298472","0.3957353197298472","0.3957353197298472","","","","","",""
"241","","","","0.4080369345964464","0.4080369345964464","0.4080369345964464","0.3774472963166976","0.3774472963166976","0.3774472963166976","0.38703518932914704","0.38703518932914704","0.38703518932914704","0.4061478890788326","0.3919156705297286","0.42038010762793654","0.4387753390180726","0.4387753390180726","0.4387753390180726","","","","","",""
