"Step","deberta-mlm-large_prompt-based-balanced - eval/micro_f1","deberta-mlm-large_prompt-based-balanced - eval/micro_f1__MIN","deberta-mlm-large_prompt-based-balanced - eval/micro_f1__MAX","deberta-large_prompt-based-balanced - eval/micro_f1","deberta-large_prompt-based-balanced - eval/micro_f1__MIN","deberta-large_prompt-based-balanced - eval/micro_f1__MAX","mlm-large_prompt-based-balanced - eval/micro_f1","mlm-large_prompt-based-balanced - eval/micro_f1__MIN","mlm-large_prompt-based-balanced - eval/micro_f1__MAX","mlm-large_prompt-based - eval/micro_f1","mlm-large_prompt-based - eval/micro_f1__MIN","mlm-large_prompt-based - eval/micro_f1__MAX","mlm-large_fine-tune - eval/micro_f1","mlm-large_fine-tune - eval/micro_f1__MIN","mlm-large_fine-tune - eval/micro_f1__MAX","mlm_fine-tune - eval/micro_f1","mlm_fine-tune - eval/micro_f1__MIN","mlm_fine-tune - eval/micro_f1__MAX"
"21","NaN","","","0.17040969103035253","0.17040969103035253","0.17040969103035253","0.3375127848479133","0.3042893804228278","0.3707361892729988","0.4007625028033191","0.4007625028033191","0.4007625028033191","","","","","",""
"22","","","","","","","","","","","","","0.5555154359992779","0.5555154359992779","0.5555154359992779","0.5281644091546006","0.5281644091546006","0.5281644091546006"
"24","","","","","","","","","","","","","0.5637490182389387","0.5637490182389387","0.5637490182389387","0.5279985384123504","0.5279985384123504","0.5279985384123504"
"26","","","","","","","","","","","","","0.562800875273523","0.562800875273523","0.562800875273523","0.525397262790484","0.525397262790484","0.525397262790484"
"28","","","","","","","","","","","","","0.5664002720625744","0.5664002720625744","0.5664002720625744","0.5284013450877033","0.5284013450877033","0.5284013450877033"
"30","","","","","","","","","","","","","0.5608631340816149","0.5608631340816149","0.5608631340816149","0.520671834625323","0.520671834625323","0.520671834625323"
"32","","","","","","","","","","","","","0.5677253218884121","0.5677253218884121","0.5677253218884121","0.5389252948885975","0.5389252948885975","0.5389252948885975"
"34","","","","","","","","","","","","","0.561317017343076","0.561317017343076","0.561317017343076","0.5262303948080044","0.5262303948080044","0.5262303948080044"
"36","","","","","","","","","","","","","0.5578267409963721","0.5578267409963721","0.5578267409963721","0.5306484520535792","0.5306484520535792","0.5306484520535792"
"38","","","","","","","","","","","","","0.5580412189536728","0.5580412189536728","0.5580412189536728","0.5316901408450704","0.5316901408450704","0.5316901408450704"
"40","","","","","","","","","","","","","0.554420570623459","0.554420570623459","0.554420570623459","0.5269146608315098","0.5269146608315098","0.5269146608315098"
"42","","","","","","","","","","","","","0.5570291777188329","0.5570291777188329","0.5570291777188329","0.5239236573457612","0.5239236573457612","0.5239236573457612"
"43","0.241422805247225","0.241422805247225","0.241422805247225","0.4586243386243386","0.4586243386243386","0.4586243386243386","0.5058481403475301","0.5017450215561486","0.5099512591389115","0.5289419189429051","0.5289419189429051","0.5289419189429051","","","","","",""
"44","","","","","","","","","","","","","0.5576703797912463","0.5576703797912463","0.5576703797912463","0.5254192174607399","0.5254192174607399","0.5254192174607399"
"46","","","","","","","","","","","","","0.5556242820535477","0.5556242820535477","0.5556242820535477","0.5201729106628243","0.5201729106628243","0.5201729106628243"
"48","","","","","","","","","","","","","0.5550769230769231","0.5550769230769231","0.5550769230769231","0.5234277569926955","0.5234277569926955","0.5234277569926955"
"50","","","","","","","","","","","","","0.5577563540753725","0.5577563540753725","0.5577563540753725","0.5240765465064531","0.5240765465064531","0.5240765465064531"
