"Step","deberta-mlm-large_prompt-based-balanced - eval/loss","deberta-mlm-large_prompt-based-balanced - eval/loss__MIN","deberta-mlm-large_prompt-based-balanced - eval/loss__MAX","deberta-large_mlm - eval/loss","deberta-large_mlm - eval/loss__MIN","deberta-large_mlm - eval/loss__MAX","deberta-large_prompt-based-balanced - eval/loss","deberta-large_prompt-based-balanced - eval/loss__MIN","deberta-large_prompt-based-balanced - eval/loss__MAX","mlm-large_prompt-based-balanced - eval/loss","mlm-large_prompt-based-balanced - eval/loss__MIN","mlm-large_prompt-based-balanced - eval/loss__MAX","mlm-large_prompt-based - eval/loss","mlm-large_prompt-based - eval/loss__MIN","mlm-large_prompt-based - eval/loss__MAX","mlm-large_fine-tune - eval/loss","mlm-large_fine-tune - eval/loss__MIN","mlm-large_fine-tune - eval/loss__MAX","mlm_fine-tune - eval/loss","mlm_fine-tune - eval/loss__MIN","mlm_fine-tune - eval/loss__MAX"
"32","","","","","","","","","","","","","","","","0.38453730940818787","0.38453730940818787","0.38453730940818787","0.3578871190547943","0.3578871190547943","0.3578871190547943"
"34","","","","","","","","","","","","","","","","0.38758373260498047","0.38758373260498047","0.38758373260498047","0.35665571689605713","0.35665571689605713","0.35665571689605713"
"36","","","","","","","","","","","","","","","","0.3940106928348541","0.3940106928348541","0.3940106928348541","0.3629065454006195","0.3629065454006195","0.3629065454006195"
"38","","","","","","","","","","","","","","","","0.3966776728630066","0.3966776728630066","0.3966776728630066","0.36490708589553833","0.36490708589553833","0.36490708589553833"
"40","","","","","","","","","","","","","","","","0.39811235666275024","0.39811235666275024","0.39811235666275024","0.36960870027542114","0.36960870027542114","0.36960870027542114"
"42","","","","","","","","","","","","","","","","0.4028104841709137","0.4028104841709137","0.4028104841709137","0.3711015284061432","0.3711015284061432","0.3711015284061432"
"43","0.4477280378341675","0.4477280378341675","0.4477280378341675","2.955853223800659","2.955853223800659","2.955853223800659","0.4043276906013489","0.4043276906013489","0.4043276906013489","0.31922389566898346","0.31869396567344666","0.31975382566452026","0.3133152723312378","0.3133152723312378","0.3133152723312378","","","","","",""
"44","","","","","","","","","","","","","","","","0.4060753583908081","0.4060753583908081","0.4060753583908081","0.372941792011261","0.372941792011261","0.372941792011261"
"46","","","","","","","","","","","","","","","","0.4060300886631012","0.4060300886631012","0.4060300886631012","0.3739321231842041","0.3739321231842041","0.3739321231842041"
"48","","","","","","","","","","","","","","","","0.4085162281990051","0.4085162281990051","0.4085162281990051","0.37593889236450195","0.37593889236450195","0.37593889236450195"
