"Step","deberta-mlm-large_prompt-based-balanced - eval/accuracy","deberta-mlm-large_prompt-based-balanced - eval/accuracy__MIN","deberta-mlm-large_prompt-based-balanced - eval/accuracy__MAX","deberta-large_prompt-based-balanced - eval/accuracy","deberta-large_prompt-based-balanced - eval/accuracy__MIN","deberta-large_prompt-based-balanced - eval/accuracy__MAX","mlm-large_prompt-based-balanced - eval/accuracy","mlm-large_prompt-based-balanced - eval/accuracy__MIN","mlm-large_prompt-based-balanced - eval/accuracy__MAX","mlm-large_prompt-based - eval/accuracy","mlm-large_prompt-based - eval/accuracy__MIN","mlm-large_prompt-based - eval/accuracy__MAX","mlm-large_fine-tune - eval/accuracy","mlm-large_fine-tune - eval/accuracy__MIN","mlm-large_fine-tune - eval/accuracy__MAX","mlm_fine-tune - eval/accuracy","mlm_fine-tune - eval/accuracy__MIN","mlm_fine-tune - eval/accuracy__MAX"
"87","0.4004296848837988","0.4004296848837988","0.4004296848837988","0.4185187278146139","0.4185187278146139","0.4185187278146139","0.4551995428973277","0.4548793198714085","0.45551976592324694","0.45711334639340967","0.45711334639340967","0.45711334639340967","","","","","",""
"109","0.41290142991092355","0.41290142991092355","0.41290142991092355","0.4291199936373987","0.4291199936373987","0.4291199936373987","0.46302386812671625","0.4600884903891233","0.46595924586430915","0.46333299845958076","0.46333299845958076","0.46333299845958076","","","","","",""
"131","0.4110954139039582","0.4110954139039582","0.4110954139039582","0.4393378290134619","0.4393378290134619","0.4393378290134619","0.4619126105083384","0.4589398734177216","0.46488534759895517","0.46238406899008166","0.46238406899008166","0.46238406899008166","","","","","",""
"153","0.4210384815606335","0.4210384815606335","0.4210384815606335","0.43721221786886344","0.43721221786886344","0.43721221786886344","0.45172889039582076","0.45067330553881185","0.45278447525282967","0.45103517848771013","0.45103517848771013","0.45103517848771013","","","","","",""
"175","0.4303236554818833","0.4303236554818833","0.4303236554818833","0.44571277878239907","0.44571277878239907","0.44571277878239907","0.4582620680128592","0.45429412798874824","0.46223000803697006","0.46258204406938586","0.46258204406938586","0.46258204406938586","","","","","",""
"197","0.4294942150559239","0.4294942150559239","0.4294942150559239","0.44002871542428507","0.44002871542428507","0.44002871542428507","0.4532577983725136","0.44999162815618515","0.4565239685888421","0.4567343301916087","0.4567343301916087","0.4567343301916087","","","","","",""
"219","0.43512197776438283","0.43512197776438283","0.43512197776438283","0.4438422995780591","0.4438422995780591","0.4438422995780591","0.452397068180296","0.44707048255307746","0.45772365380751456","0.45495885238764994","0.45495885238764994","0.45495885238764994","","","","","",""
"241","0.42884518786417525","0.42884518786417525","0.42884518786417525","0.44280502812939526","0.44280502812939526","0.44280502812939526","0.4490809808452214","0.4404071227647177","0.45775483892572505","0.457148926729623","0.457148926729623","0.457148926729623","","","","","",""
"263","0.4397488865447726","0.4397488865447726","0.4397488865447726","0.4427445415578327","0.4427445415578327","0.4427445415578327","0.44322843413033286","0.4404910504989619","0.4459658177617038","0.4501523675574308","0.4501523675574308","0.4501523675574308","","","","","",""
"285","0.431774914607193","0.431774914607193","0.431774914607193","0.4404408194360726","0.4404408194360726","0.4404408194360726","0.4475977374711552","0.44505244960150026","0.4501430253408102","0.4548065419109723","0.4548065419109723","0.4548065419109723","","","","","",""
"307","0.4331931049494341","0.4331931049494341","0.4331931049494341","0.444410957069185","0.444410957069185","0.444410957069185","0.44502129302366644","0.44337682506195164","0.44666576098538124","0.4555321143928739","0.4555321143928739","0.4555321143928739","","","","","",""
"329","0.4255337050431987","0.4255337050431987","0.4255337050431987","0.4447617373250285","0.4447617373250285","0.4447617373250285","0.44598825049774415","0.444042044160715","0.4479344568347733","0.4579429961154645","0.4579429961154645","0.4579429961154645","","","","","",""
"352","0.43504453820909517","0.43504453820909517","0.43504453820909517","0.4412474465876364","0.4412474465876364","0.4412474465876364","0.4408052039381154","0.435856188466948","0.4457542194092827","0.4523311399102538","0.4523311399102538","0.4523311399102538","","","","","",""
"374","0.4310281651658234","0.4310281651658234","0.4310281651658234","0.43933510816422205","0.43933510816422205","0.43933510816422205","0.4410667194092827","0.438658872480075","0.4434745663384904","0.4559735959656846","0.4559735959656846","0.4559735959656846","","","","","",""
"396","0.4250590214988949","0.4250590214988949","0.4250590214988949","0.4410670333534258","0.4410670333534258","0.4410670333534258","0.4426352889960485","0.4353605753131069","0.44991000267899006","0.45376377168307547","0.45376377168307547","0.45376377168307547","","","","","",""
"418","0.4268591772151899","0.4268591772151899","0.4268591772151899","0.43969258589511756","0.43969258589511756","0.43969258589511756","0.4412128080838524","0.43603367155582345","0.4463919446118813","0.4587048339026187","0.4587048339026187","0.4587048339026187","","","","","",""
"440","0.4295892354832228","0.4295892354832228","0.4295892354832228","0.44291595505994236","0.44291595505994236","0.44291595505994236","0.44574584756546787","0.44332910555220684","0.44816258957872884","0.4564669068624765","0.4564669068624765","0.4564669068624765","","","","","",""
"462","0.42980690342240974","0.42980690342240974","0.42980690342240974","0.4399835074676847","0.4399835074676847","0.4399835074676847","0.4406895963857989","0.4394984161993655","0.4418807765722323","0.4516754152434532","0.4516754152434532","0.4516754152434532","","","","","",""
"484","0.4246944277007568","0.4246944277007568","0.4246944277007568","0.4392890630232403","0.4392890630232403","0.4392890630232403","0.44262314982251694","0.437471326434934","0.4477749732100998","0.45692288694662114","0.45692288694662114","0.45692288694662114","","","","","",""
"506","0.4217487944544907","0.4217487944544907","0.4217487944544907","0.43850755140312103","0.43850755140312103","0.43850755140312103","0.4441370931283906","0.44019405933962896","0.44808012691715227","0.45505429140713954","0.45505429140713954","0.45505429140713954","","","","","",""
"528","0.4215392890630232","0.4215392890630232","0.4215392890630232","0.43698199216395417","0.43698199216395417","0.43698199216395417","0.44128355016408816","0.43878089210367693","0.4437862082244994","0.4545174469225102","0.4545174469225102","0.4545174469225102","","","","","",""
"550","0.4250673933427099","0.4250673933427099","0.4250673933427099","0.4402922192083585","0.4402922192083585","0.4402922192083585","0.443110391132543","0.4406419529837251","0.44557882928136094","0.45556874120956403","0.45556874120956403","0.45556874120956403","","","","","",""
"572","0.4268468287455629","0.4268468287455629","0.4268468287455629","0.4396187043734512","0.4396187043734512","0.4396187043734512","0.44423922962293216","0.43974490991896054","0.4487335493269038","0.4537292378273391","0.4537292378273391","0.4537292378273391","","","","","",""
"594","0.4250906252092961","0.4250906252092961","0.4250906252092961","0.4373003315250151","0.4373003315250151","0.4373003315250151","0.44116508857410763","0.43861847833366824","0.443711698814547","0.45521796095372047","0.45521796095372047","0.45521796095372047","","","","","",""
"616","0.4235481129864041","0.4235481129864041","0.4235481129864041","0.44011494541557833","0.44011494541557833","0.44011494541557833","0.4413305371374992","0.43899562989752866","0.44366544437746974","0.45580210635590385","0.45580210635590385","0.45580210635590385","","","","","",""
"638","0.4248267028330319","0.4248267028330319","0.4248267028330319","0.4381896306342509","0.4381896306342509","0.4381896306342509","0.44289973461255105","0.44012645670082384","0.4456730125242783","0.4541421790235081","0.4541421790235081","0.4541421790235081","","","","","",""
"659","0.4248857243319269","0.4248857243319269","0.4248857243319269","0.437438676244056","0.437438676244056","0.437438676244056","0.4426193824928002","0.4399424854329918","0.44529627955260864","0.4550293851717902","0.4550293851717902","0.4550293851717902","","","","","",""
