"Step","deberta-mlm-large_prompt-based-balanced - eval/macro_f1","deberta-mlm-large_prompt-based-balanced - eval/macro_f1__MIN","deberta-mlm-large_prompt-based-balanced - eval/macro_f1__MAX","deberta-large_prompt-based-balanced - eval/macro_f1","deberta-large_prompt-based-balanced - eval/macro_f1__MIN","deberta-large_prompt-based-balanced - eval/macro_f1__MAX","mlm-large_prompt-based-balanced - eval/macro_f1","mlm-large_prompt-based-balanced - eval/macro_f1__MIN","mlm-large_prompt-based-balanced - eval/macro_f1__MAX","mlm-large_prompt-based - eval/macro_f1","mlm-large_prompt-based - eval/macro_f1__MIN","mlm-large_prompt-based - eval/macro_f1__MAX","mlm-large_fine-tune - eval/macro_f1","mlm-large_fine-tune - eval/macro_f1__MIN","mlm-large_fine-tune - eval/macro_f1__MAX","mlm_fine-tune - eval/macro_f1","mlm_fine-tune - eval/macro_f1__MIN","mlm_fine-tune - eval/macro_f1__MAX"
"0","","","","","","","","","","","","","0.02302158273381295","0.02302158273381295","0.02302158273381295","NaN","",""
"2","","","","","","","","","","","","","0.4468801951186835","0.4468801951186835","0.4468801951186835","NaN","",""
"4","","","","","","","","","","","","","0.3986746861883099","0.3986746861883099","0.3986746861883099","0.4460578067604554","0.4460578067604554","0.4460578067604554"
"6","","","","","","","","","","","","","0.39607860494915553","0.39607860494915553","0.39607860494915553","0.3733142611183132","0.3733142611183132","0.3733142611183132"
"8","","","","","","","","","","","","","0.42052351043859354","0.42052351043859354","0.42052351043859354","0.44463458168889197","0.44463458168889197","0.44463458168889197"
"10","","","","","","","","","","","","","0.41997511277613375","0.41997511277613375","0.41997511277613375","0.42343073262285635","0.42343073262285635","0.42343073262285635"
"12","","","","","","","","","","","","","0.40674565034613075","0.40674565034613075","0.40674565034613075","0.3883419520650198","0.3883419520650198","0.3883419520650198"
"14","","","","","","","","","","","","","0.4457561476408487","0.4457561476408487","0.4457561476408487","0.38376928189197307","0.38376928189197307","0.38376928189197307"
"16","","","","","","","","","","","","","0.4272978887149416","0.4272978887149416","0.4272978887149416","0.4105629975834889","0.4105629975834889","0.4105629975834889"
"18","","","","","","","","","","","","","0.4353592390824258","0.4353592390824258","0.4353592390824258","0.38224557548664434","0.38224557548664434","0.38224557548664434"
"20","","","","","","","","","","","","","0.44517231111088096","0.44517231111088096","0.44517231111088096","0.3918087001378481","0.3918087001378481","0.3918087001378481"
